# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 3.820000000000000062e-01 3.500000000000000333e-01 1.015200000000000000e+09 2.550000000000000000e+08 7.600000000000000089e-01 2.500000000000000139e-02 2.143994370534381400e-19 9.092182304397820047e+00 8.646240083552514388e-02 5.964936010343775749e+08
2.000000000000000000e+00 7.359999999999999876e-01 6.900000000000000577e-01 5.088000000000000000e+08 5.088000000000000000e+08 4.400000000000000022e-01 1.000000000000000056e-01 3.175128799619355930e-19 5.655206200247508974e+00 8.552518343466846140e-01 1.412317649964784145e+09
3.000000000000000000e+00 7.099999999999999645e-01 7.099999999999999645e-01 7.187000320000000000e+08 1.015200000000000000e+09 7.600000000000000089e-01 3.000000000000000444e-01 5.588624007161486235e-19 6.717930893044227858e+00 2.979841554794389058e+00 2.654615562886719131e+10
4.000000000000000000e+00 3.830000000000000071e-01 3.500000000000000333e-01 1.015200000000000000e+09 5.000000000000000000e+07 8.399999999999999689e-01 3.500000000000000333e-01 1.330676090533973792e-18 5.216271002898982267e+00 3.897236011445520898e+00 2.272974638620841599e+10
5.000000000000000000e+00 3.579999999999999849e-01 3.599999999999999867e-01 7.187000320000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 0.000000000000000000e+00 1.918261567614970468e-19 1.251646960610463921e+01 2.794828453136302127e-01 7.128270263490456343e+08
6.000000000000000000e+00 1.885000000000000009e+00 1.919999999999999929e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 2.500000000000000000e-01 3.923412121361764270e-19 2.092938281614391727e+01 5.475449218123555539e+01 1.396239550621506691e+10
7.000000000000000000e+00 1.980000000000000093e-01 1.700000000000000122e-01 1.015200000000000000e+09 2.511900000000000000e+07 8.399999999999999689e-01 2.500000000000000139e-02 8.741105645689571857e-19 3.624696441455451001e+00 1.477090250719719777e-01 6.571944243724664450e+08
8.000000000000000000e+00 1.032000000000000028e+00 9.200000000000000400e-01 5.088000000000000000e+08 7.187000320000000000e+08 2.999999999999999889e-01 2.250000000000000056e-01 4.567856113278658257e-19 5.807083347264212492e+00 4.223681292660138809e+00 5.991916184583062172e+09
9.000000000000000000e+00 6.340000000000000080e-01 6.199999999999999956e-01 1.015200000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 2.000000000000000111e-01 8.691535294227134267e-18 7.867331546312796853e+00 0.000000000000000000e+00 1.633666700572148387e+27
1.000000000000000000e+01 6.919999999999999485e-01 7.199999999999999734e-01 1.015200000000000000e+09 1.015200000000000000e+09 9.599999999999999645e-01 3.000000000000000444e-01 5.672399502584868439e-20 1.213541304582795277e+01 3.148188893985829351e-01 2.599171380140817642e+10
1.100000000000000000e+01 1.990000000000000102e-01 1.700000000000000122e-01 1.015200000000000000e+09 1.015200000000000000e+09 5.799999999999999600e-01 0.000000000000000000e+00 4.217248859821690552e-19 9.313820159453030101e+00 1.594576837050835222e-02 9.100654849624450505e+07
1.200000000000000000e+01 6.770000000000000462e-01 5.100000000000000089e-01 7.187000320000000000e+08 7.187000320000000000e+08 5.999999999999999778e-01 5.500000000000000444e-01 9.789438930913044031e-19 1.603452412521128423e+01 6.428747180559050811e+00 2.623500764328075409e+10
1.300000000000000000e+01 2.278000000000000025e+00 2.250000000000000000e+00 5.088000000000000000e+08 5.088000000000000000e+08 0.000000000000000000e+00 3.500000000000000333e-01 3.092792280943545917e-19 1.813455039524983192e+01 8.241524740081550249e+01 4.193287787753492737e+10
1.400000000000000000e+01 1.211000000000000076e+00 1.040000000000000036e+00 5.088000000000000000e+08 5.088000000000000000e+08 4.400000000000000022e-01 2.500000000000000139e-02 3.289134778987080951e-19 1.126728852422688476e+01 2.156511213037500596e+00 3.561146610633362293e+09
1.500000000000000000e+01 1.191999999999999948e+00 1.050000000000000044e+00 5.088000000000000000e+08 5.088000000000000000e+08 5.400000000000000355e-01 7.500000000000001110e-02 2.178869962137848099e-19 5.439770294393857064e+00 1.806014626094463171e+00 4.001850697448308945e+09
1.600000000000000000e+01 4.620000000000000218e-01 4.299999999999999933e-01 2.500000000000000000e+09 5.088000000000000000e+08 7.199999999999999734e-01 7.500000000000001110e-02 2.714805730954074985e-18 4.644628075594848582e+00 1.784409907460295264e+00 3.571913319263725281e+10
1.700000000000000000e+01 1.153000000000000025e+00 1.010000000000000009e+00 7.187000320000000000e+08 2.550000000000000000e+08 5.000000000000000000e-01 3.750000000000000000e-01 6.619205466467008200e-19 8.984387269431143963e+00 2.179223732247442769e+01 3.909977576607489777e+10
1.800000000000000000e+01 6.949999999999999512e-01 4.400000000000000022e-01 3.000000000000000000e+09 1.015200000000000000e+08 8.800000000000000044e-01 3.000000000000000444e-01 3.794703564772581651e-19 1.178531972883157941e+01 1.248579223475781985e+00 4.382870940487555695e+10
1.900000000000000000e+01 8.970000000000000195e-01 7.199999999999999734e-01 1.015200000000000000e+09 2.550000000000000000e+08 6.400000000000000133e-01 3.250000000000000111e-01 6.044955327208144554e-19 2.088946073212279586e+01 6.022251495451542702e+00 2.399832611410410309e+10
2.000000000000000000e+01 1.205999999999999961e+00 1.080000000000000071e+00 5.088000000000000000e+08 5.088000000000000000e+08 5.799999999999999600e-01 2.500000000000000139e-02 1.937133087585628989e-19 8.841367225361873139e+00 1.421707928548162192e+00 3.578313055217205524e+09
2.100000000000000000e+01 2.724000000000000199e+00 2.680000000000000160e+00 1.434000000000000000e+09 1.015200000000000000e+08 1.199999999999999956e-01 1.500000000000000222e-01 5.819294015157489245e-19 1.807098828868640794e+01 2.195900538894803731e+02 8.913983256298934937e+10
2.200000000000000000e+01 1.245000000000000107e+00 1.060000000000000053e+00 5.088000000000000000e+08 5.088000000000000000e+08 4.199999999999999845e-01 1.500000000000000222e-01 2.750940297344773103e-19 4.788887513968431264e+00 3.194412551320750193e+00 4.989053832015411377e+09
2.300000000000000000e+01 2.489999999999999991e-01 2.099999999999999922e-01 1.015200000000000000e+09 1.000000000000000000e+07 7.800000000000000266e-01 2.500000000000000139e-02 6.034342761494980719e-19 3.745667517957186554e+00 2.522105072690636884e-01 5.066237005563302636e+08
2.400000000000000000e+01 4.570000000000000173e-01 3.900000000000000133e-01 1.015200000000000000e+09 1.000000000000000000e+07 8.800000000000000044e-01 0.000000000000000000e+00 7.093984106778879023e-20 4.535505053846685009e+00 1.274837780813041499e-01 5.283090275900889039e+08
2.500000000000000000e+01 1.881000000000000005e+00 1.770000000000000018e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 1.750000000000000167e-01 2.286847792727343926e-19 1.633101957849644137e+01 1.820734571675155067e+01 4.642873157771645546e+09
2.600000000000000000e+01 9.889999999999999902e-01 9.200000000000000400e-01 7.187000320000000000e+08 5.088000000000000000e+08 5.000000000000000000e-01 1.000000000000000056e-01 3.394637993424027242e-19 1.192491478441970010e+01 2.107015697685045819e+00 5.276948818893579483e+09
2.700000000000000000e+01 1.413000000000000034e+00 1.320000000000000062e+00 5.088000000000000000e+08 5.088000000000000000e+08 4.799999999999999822e-01 2.000000000000000111e-01 4.410276237124560304e-19 2.044277729396956644e+01 1.219375386906041214e+01 2.257179090808256912e+10
2.800000000000000000e+01 1.459999999999999964e+00 1.280000000000000027e+00 7.187000320000000000e+08 1.015200000000000000e+08 7.199999999999999734e-01 1.000000000000000056e-01 2.040724877667703780e-19 3.304629543206070963e+01 6.344374469195041222e+00 1.811355621739873505e+10
2.900000000000000000e+01 6.939999999999999503e-01 5.400000000000000355e-01 2.500000000000000000e+09 1.015200000000000000e+08 8.800000000000000044e-01 1.250000000000000000e-01 1.711964043933071157e-19 1.215609764647715174e+01 4.785844653238194302e-01 1.433550908943569946e+10
3.000000000000000000e+01 1.685999999999999943e+00 1.750000000000000000e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 3.250000000000000111e-01 2.511062003943785712e-19 2.858346166194798599e+01 3.579552370845611620e+01 9.127858545656311035e+09
3.100000000000000000e+01 6.959999999999999520e-01 6.800000000000000488e-01 5.088000000000000000e+08 7.187000320000000000e+08 2.200000000000000011e-01 1.500000000000000222e-01 2.234707312649956500e-18 3.037178855349865536e+00 6.316316736341972771e+00 7.449143061751257896e+09
3.200000000000000000e+01 1.155000000000000027e+00 1.000000000000000000e+00 7.187000320000000000e+08 7.187000320000000000e+08 3.800000000000000044e-01 1.500000000000000222e-01 5.710904047306791281e-19 9.236308375209411281e+00 4.963171448481489278e+00 1.038527936411077499e+10
3.300000000000000000e+01 2.738999999999999879e+00 2.899999999999999911e+00 5.088000000000000000e+08 5.088000000000000000e+08 2.000000000000000042e-02 2.000000000000000111e-01 1.799076653951451826e-19 1.489353399421379720e+01 5.738148384313027606e+01 3.089858514190218735e+10
3.400000000000000000e+01 2.503000000000000114e+00 2.450000000000000178e+00 5.088000000000000000e+08 2.550000000000000000e+08 5.999999999999999778e-02 2.250000000000000056e-01 2.349047757863965789e-19 8.034040100705418297e+00 6.334533006000740585e+01 2.068778246236980438e+10
3.500000000000000000e+01 2.490000000000000213e+00 2.439999999999999947e+00 5.088000000000000000e+08 2.550000000000000000e+08 4.000000000000000083e-02 2.500000000000000000e-01 2.558340515819779677e-19 5.861849409351697737e+00 7.549426027084344071e+01 2.277893012152427292e+10
3.600000000000000000e+01 1.032000000000000028e+00 9.200000000000000400e-01 5.088000000000000000e+08 1.015200000000000000e+09 2.800000000000000266e-01 3.500000000000000333e-01 4.820370065452722023e-19 1.281125786306080272e+01 6.705895878790734344e+00 1.154435757016390228e+10
3.700000000000000000e+01 1.048999999999999932e+00 8.100000000000000533e-01 2.500000000000000000e+09 7.187000320000000000e+08 5.799999999999999600e-01 2.250000000000000056e-01 2.383605889293746196e-19 1.455067521208403747e+01 1.518020761176930522e+00 1.895334370954728699e+10
3.800000000000000000e+01 3.573999999999999844e+00 3.600000000000000089e+00 5.088000000000000000e+08 5.088000000000000000e+08 5.999999999999999778e-02 1.250000000000000000e-01 1.569423786934629855e-19 1.554580907090653419e+01 7.280677279413392000e+01 4.380187707166252899e+10
3.900000000000000000e+01 3.088999999999999968e+00 3.030000000000000249e+00 1.015200000000000000e+09 1.000000000000000000e+07 1.799999999999999933e-01 3.250000000000000111e-01 1.372823050047590336e-19 1.253603990663005519e+01 4.059677373881571611e+02 5.429849919048951721e+10
4.000000000000000000e+01 3.830000000000000071e-01 3.699999999999999956e-01 1.434000000000000000e+09 2.550000000000000000e+08 7.600000000000000089e-01 3.250000000000000111e-01 3.923340837810393337e-18 4.136869502938958831e+00 6.289755528700204934e+00 6.551546411787593842e+10
4.100000000000000000e+01 1.280000000000000027e+00 1.050000000000000044e+00 1.015200000000000000e+09 2.550000000000000000e+08 5.000000000000000000e-01 1.250000000000000000e-01 2.427352008685255353e-19 7.994693081358970055e+00 3.205051941003211891e+00 7.541729521233139038e+09
4.200000000000000000e+01 2.580000000000000071e+00 1.320000000000000062e+00 1.434000000000000000e+09 1.000000000000000000e+07 2.000000000000000042e-02 5.000000000000000000e-01 4.957850936957530047e-19 1.101501007047098746e+01 2.274953135531344515e+02 6.277927069709471703e+09
4.300000000000000000e+01 2.782999999999999918e+00 2.770000000000000018e+00 5.088000000000000000e+08 1.015200000000000000e+08 2.000000000000000042e-02 3.500000000000000333e-01 2.056317216210189959e-19 1.183969814126397146e+01 1.961778947296909621e+02 2.303984526239902878e+10
4.400000000000000000e+01 1.125000000000000000e+00 9.899999999999999911e-01 5.088000000000000000e+08 5.088000000000000000e+08 4.000000000000000222e-01 0.000000000000000000e+00 4.419883915800213280e-19 1.496248198373145044e+01 2.257786710644396511e+00 3.337534563107715130e+09
4.500000000000000000e+01 1.980000000000000093e-01 1.700000000000000122e-01 1.015200000000000000e+09 2.550000000000000000e+08 6.800000000000000488e-01 2.500000000000000139e-02 1.581160515297348908e-18 2.702928836056394779e+00 1.073163749386846499e-01 5.058241617189290524e+08
4.600000000000000000e+01 1.887000000000000011e+00 1.919999999999999929e+00 5.088000000000000000e+08 2.550000000000000000e+08 4.000000000000000083e-02 1.750000000000000167e-01 2.079768620324728413e-19 1.559489419404563293e+01 2.131323692384231805e+01 6.430856143799450874e+09
4.700000000000000000e+01 9.180000000000000382e-01 8.200000000000000622e-01 1.015200000000000000e+09 1.015200000000000000e+09 5.400000000000000355e-01 7.500000000000001110e-02 2.408700683060824491e-19 1.050455246625039507e+01 7.708167768002028852e-01 3.857020476540131569e+09
